hostTime;deviceTime;rA;cA;rB;cB;tpb_x;tpb_y
158103.889279;84.562227;3600;3600;3600;3600;18;4
168501.536323;50.932914;3600;3600;3600;3600;16;4
424437.636657;313.673396;4800;4800;4800;4800;4;4
25.856994;0.035649;200;200;200;200;20;4
207.282698;0.099698;400;400;400;400;20;4
714.361333;0.233485;600;600;600;600;20;4
1735.609255;0.492715;800;800;800;800;20;4
3371.614035;0.926186;1000;1000;1000;1000;20;4
5726.276058;1.549950;1200;1200;1200;1200;20;4
311463.887577;116.011355;4400;4400;4400;4400;12;4
9145.152996;2.436882;1400;1400;1400;1400;20;4
430695.776301;581.401897;4800;4800;4800;4800;2;4
13585.363042;3.615968;1600;1600;1600;1600;20;4
19391.095523;5.114637;1800;1800;1800;1800;20;4
26425.907827;6.987054;2000;2000;2000;2000;20;4
309989.239439;105.180311;4400;4400;4400;4400;14;4
35623.283460;9.292972;2200;2200;2200;2200;20;4
209266.205801;98.106386;3800;3800;3800;3800;18;4
206988.550174;61.079782;3800;3800;3800;3800;16;4
439305.058573;223.095001;4800;4800;4800;4800;6;4
45882.755858;12.421370;2400;2400;2400;2400;20;4
60164.978044;16.437426;2600;2600;2600;2600;20;4
25.869684;0.038112;200;200;200;200;22;4
207.143741;0.096392;400;400;400;400;22;4
717.098407;0.222489;600;600;600;600;22;4
1737.886082;0.452824;800;800;800;800;22;4
3368.314619;0.859919;1000;1000;1000;1000;22;4
381204.682307;155.045399;4600;4600;4600;4600;8;4
5742.382243;1.416288;1200;1200;1200;1200;22;4
9152.870402;2.214652;1400;1400;1400;1400;22;4
379859.243068;183.606921;4600;4600;4600;4600;10;4
13553.618706;3.311319;1600;1600;1600;1600;22;4
19454.607946;4.635190;1800;1800;1800;1800;22;4
76265.734641;21.312528;2800;2800;2800;2800;20;4
26305.872216;6.317578;2000;2000;2000;2000;22;4
25.870937;0.055099;200;200;200;200;24;4
207.555147;0.133176;400;400;400;400;24;4
715.399536;0.368029;600;600;600;600;24;4
1734.510442;0.782553;800;800;800;800;24;4
35426.898920;8.398124;2200;2200;2200;2200;22;4
3385.130221;1.429236;1000;1000;1000;1000;24;4
230948.390919;110.168341;4000;4000;4000;4000;18;4
5744.499739;2.367414;1200;1200;1200;1200;24;4
230808.109788;73.932520;4000;4000;4000;4000;16;4
9163.093016;3.354010;1400;1400;1400;1400;24;4
13560.053964;5.512491;1600;1600;1600;1600;24;4
380035.354247;130.219051;4600;4600;4600;4600;12;4
97610.809885;29.774105;3000;3000;3000;3000;20;4
45989.058396;11.341203;2400;2400;2400;2400;22;4
19494.973172;7.762243;1800;1800;1800;1800;24;4
26435.624450;9.585889;2000;2000;2000;2000;24;4
60077.559960;15.004285;2600;2600;2600;2600;22;4
35260.043513;13.356533;2200;2200;2200;2200;24;4
496575.104680;347.236631;5000;5000;5000;5000;4;4
380183.234630;117.435806;4600;4600;4600;4600;14;4
45904.807522;18.393715;2400;2400;2400;2400;24;4
503655.489646;642.307310;5000;5000;5000;5000;2;4
76509.189477;18.988481;2800;2800;2800;2800;22;4
148962.857172;38.665307;3200;3200;3200;3200;20;4
59906.065279;23.530303;2600;2600;2600;2600;24;4
492391.029433;248.632910;5000;5000;5000;5000;6;4
278247.187467;135.550733;4200;4200;4200;4200;18;4
98411.251319;24.882926;3000;3000;3000;3000;22;4
278826.098331;83.138986;4200;4200;4200;4200;16;4
76107.535291;29.494345;2800;2800;2800;2800;24;4
420844.785773;179.737526;4800;4800;4800;4800;8;4
416275.167618;246.770959;4800;4800;4800;4800;10;4
149113.786831;45.926173;3400;3400;3400;3400;20;4
97464.894495;35.319503;3000;3000;3000;3000;24;4
152391.888252;35.106346;3200;3200;3200;3200;22;4
25.862462;0.036151;200;200;200;200;26;4
207.036270;0.102769;400;400;400;400;26;4
720.323056;0.241279;600;600;600;600;26;4
1736.614073;0.503315;800;800;800;800;26;4
3370.451239;0.960774;1000;1000;1000;1000;26;4
435304.926455;156.602160;4800;4800;4800;4800;12;4
5727.119178;1.609333;1200;1200;1200;1200;26;4
9136.558209;2.488680;1400;1400;1400;1400;26;4
13563.151321;3.721632;1600;1600;1600;1600;26;4
168145.518273;56.112601;3600;3600;3600;3600;20;4
19320.959228;5.278384;1800;1800;1800;1800;26;4
26342.886178;7.136119;2000;2000;2000;2000;26;4
416028.530958;140.301436;4800;4800;4800;4800;14;4
148988.756067;45.968864;3200;3200;3200;3200;24;4
25.875820;0.056792;200;200;200;200;30;4
25.856973;0.038728;200;200;200;200;28;4
207.122902;0.163575;400;400;400;400;30;4
208.451276;0.126276;400;400;400;400;28;4
718.228106;0.397210;600;600;600;600;30;4
719.548356;0.299716;600;600;600;600;28;4
1754.460466;0.542079;800;800;800;800;28;4
1741.171224;0.817182;800;800;800;800;30;4
3463.647261;1.538625;1000;1000;1000;1000;30;4
3368.403695;0.939763;1000;1000;1000;1000;28;4
5728.280909;2.521863;1200;1200;1200;1200;30;4
35578.548699;9.548376;2200;2200;2200;2200;26;4
5791.200187;1.548451;1200;1200;1200;1200;28;4
9166.128459;3.969035;1400;1400;1400;1400;30;4
9309.232458;2.391162;1400;1400;1400;1400;28;4
148962.593172;42.178030;3400;3400;3400;3400;22;4
